n,sigma,betas,model,rmse_forecast,rmse_beta,rmse_phi,rmse_sigma,divergent_trans,fr_true_pos,fr_false_pos,phi_true_pos,phi_false_pos,beta_true_pos,beta_false_pos,TPR_threshold,mod_run,prior
365,1,0,hs,4.23666345664183,2.48021038978054,0.186517804671497,0.341381077062138,0,0.75,0.0158730158730159,0.6,0.1,NA,0,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run10.rds,NA
365,1,0,gauss,24.7215903896109,54930.4284727162,0.328360996847327,1.33472272124488,73,0.5,0.0529100529100529,0.6,0.6,NA,1,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run10.rds,NA
365,1,0,arima,11.4300423416651,6.78410324184489,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
365,1,0,hs,3.82642865396269,3.18960676480673,0.18266617767731,0.263241712927856,0,0.5,0,0.6,0.5,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run100.rds,NA
365,1,0,gauss,6.03966246389876,0.665444852987972,0.260173361151055,0.415089602319086,0,0.416666666666667,0.158730158730159,0.6,0.6,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run100.rds,NA
365,1,0,arima,10.1146202281655,3.61218168287551,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
365,1,0,hs,4.25985333359012,4.36294491858885,0.102161771737403,0.262398949827134,1,0.166666666666667,0.00529100529100529,0.8,0.2,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1000.rds,NA
365,1,0,gauss,7.28765284525833,13849.4755542902,0.301622725946114,0.492642409639392,257,0.25,0.121693121693122,0,0.4,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1000.rds,NA
365,1,0,arima,13.1451969833342,6.57994119419975,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,0,hs,3.73522532729501,2.15211062100933,0.241842715738386,0.368724105784589,0,0.454545454545455,0,0.8,0.4,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1001.rds,NA
730,1,0,gauss,5.18872755207882,5578.68721657958,0.30093012639874,0.755333357315257,213,0.272727272727273,0.110526315789474,0.8,0.6,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1001.rds,NA
730,1,0,arima,7.8120147952741,0.86496418599878,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
1095,1,0,hs,2.38543889438143,0.529067358892832,0.0801555908948377,0.171207671980459,0,0.2,0.0104712041884817,0.6,0.3,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1002.rds,NA
1095,1,0,gauss,4.5026861186557,12905.0065125403,0.165770221200273,0.29083577097773,1050,0.1,0.246073298429319,0.2,0.5,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1002.rds,NA
1095,1,0,arima,6.17682632355454,0.761389834227571,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
365,1,2,hs,2.49945302202152,1.63451324783818,0.145595050344956,0.417088072737885,0,0.25,0,0.8,0,0.333333333333333,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1003.rds,NA
365,1,2,gauss,5.00379112761214,1.15104886558392,0.287757345257947,0.349729644405125,0,0,0.264248704663212,0.6,0.7,0.333333333333333,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1003.rds,NA
365,1,2,arima,5.9367180138309,1.16957005548108,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,2,hs,5.04024498016771,0.884061075304172,0.15261225892444,0.587013520611266,0,0.142857142857143,0,1,0.3,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1004.rds,NA
