ArrayTaskID numTrials n K num_strong prob_cycle trend_fraction freq sigma probWeakCorr numStrongCorr strongSelf corrLevel corrChange propChange changeSize changeTimeVar nameID
1 50 100 50 5 0.5 0.5 1 0.5 0.2 1 TRUE 0.1 FALSE 0 0 0 AICSTANredo1
2 50 100 50 5 0.5 0.5 1 0.5 0.2 1 TRUE 0.5 FALSE 0 0 0 AICSTANredo2
3 50 100 50 5 0.5 0.5 1 0.5 0.2 1 TRUE 0.9 FALSE 0 0 0 AICSTANredo3
4 50 100 50 5 0.5 0.5 1 0.5 0.2 1 FALSE 0.1 FALSE 0 0 0 AICSTANredo4
5 50 100 50 5 0.5 0.5 1 0.5 0.2 1 FALSE 0.5 FALSE 0 0 0 AICSTANredo5
6 50 100 50 5 0.5 0.5 1 0.5 0.2 1 FALSE 0.9 FALSE 0 0 0 AICSTANredo6
7 50 100 50 5 0.5 0.5 1 0.5 0.2 3 TRUE 0.1 FALSE 0 0 0 AICSTANredo7
8 50 100 50 5 0.5 0.5 1 0.5 0.2 3 TRUE 0.5 FALSE 0 0 0 AICSTANredo8
9 50 100 50 5 0.5 0.5 1 0.5 0.2 3 TRUE 0.9 FALSE 0 0 0 AICSTANredo9
10 50 100 50 5 0.5 0.5 1 0.5 0.2 3 FALSE 0.1 FALSE 0 0 0 AICSTANredo10
11 50 100 50 5 0.5 0.5 1 0.5 0.2 3 FALSE 0.5 FALSE 0 0 0 AICSTANredo11
12 50 100 50 5 0.5 0.5 1 0.5 0.2 3 FALSE 0.9 FALSE 0 0 0 AICSTANredo12
13 50 100 50 5 0.5 0.5 1 0.5 0.5 1 TRUE 0.1 FALSE 0 0 0 AICSTANredo13
14 50 100 50 5 0.5 0.5 1 0.5 0.5 1 TRUE 0.5 FALSE 0 0 0 AICSTANredo14
15 50 100 50 5 0.5 0.5 1 0.5 0.5 1 TRUE 0.9 FALSE 0 0 0 AICSTANredo15
16 50 100 50 5 0.5 0.5 1 0.5 0.5 1 FALSE 0.1 FALSE 0 0 0 AICSTANredo16
17 50 100 50 5 0.5 0.5 1 0.5 0.5 1 FALSE 0.5 FALSE 0 0 0 AICSTANredo17
18 50 100 50 5 0.5 0.5 1 0.5 0.5 1 FALSE 0.9 FALSE 0 0 0 AICSTANredo18
19 50 100 50 5 0.5 0.5 1 0.5 0.5 3 TRUE 0.1 FALSE 0 0 0 AICSTANredo19
20 50 100 50 5 0.5 0.5 1 0.5 0.5 3 TRUE 0.5 FALSE 0 0 0 AICSTANredo20
