ArrayTaskID numTrials n K num_strong prob_cycle trend_fraction freq sigma probWeakCorr numStrongCorr strongSelf corrLevel corrChange propChange changeSize changeTimeVar nameID
1 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr1
2 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr2
3 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr3
4 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr4
5 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr5
6 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr6
7 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr7
8 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr8
9 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr9
10 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr10
11 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr11
12 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr12
13 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr13
14 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr14
15 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr15
16 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr16
17 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr17
18 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr18
19 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr19
20 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr20
21 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr21
22 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr22
23 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr23
24 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr24
25 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr25
26 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr26
27 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr27
28 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr28
29 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr29
30 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr30
31 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr31
32 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr32
33 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr33
34 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr34
35 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr35
36 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 TRUE 0.75 0 0 decorr36
37 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr37
38 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr38
39 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr39
40 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr40
41 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr41
42 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr42
43 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr43
44 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr44
45 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr45
46 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr46
47 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr47
48 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr48
49 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr49
50 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr50
51 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr51
52 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr52
53 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr53
54 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr54
55 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr55
56 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr56
57 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr57
58 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr58
59 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr59
60 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr60
61 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr61
62 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr62
63 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr63
64 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr64
65 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr65
66 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr66
67 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr67
68 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr68
69 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr69
70 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr70
71 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr71
72 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0.75 0 0 decorr72
