site,lat,long,year,month,ppt
BM,36.06,-118.39,1895,1,319.747009277344
BM,36.06,-118.39,1895,2,73.2880020141602
BM,36.06,-118.39,1895,3,83.2470016479492
BM,36.06,-118.39,1895,4,50.2869987487793
BM,36.06,-118.39,1895,5,44.5670013427734
BM,36.06,-118.39,1895,6,2.13100004196167
BM,36.06,-118.39,1895,7,28
BM,36.06,-118.39,1895,8,3.68199992179871
BM,36.06,-118.39,1895,9,23.863000869751
BM,36.06,-118.39,1895,10,10.5900001525879
BM,36.06,-118.39,1895,11,36.3839988708496
BM,36.06,-118.39,1895,12,73.1169967651367
BM,36.06,-118.39,1896,1,355.182006835938
BM,36.06,-118.39,1896,2,15.1090002059937
BM,36.06,-118.39,1896,3,137.595001220703
BM,36.06,-118.39,1896,4,150.037994384766
BM,36.06,-118.39,1896,5,62.7210006713867
BM,36.06,-118.39,1896,6,9.47000026702881
BM,36.06,-118.39,1896,7,63.1549987792969
BM,36.06,-118.39,1896,8,17.1599998474121
BM,36.06,-118.39,1896,9,13.0109996795654
BM,36.06,-118.39,1896,10,34.4309997558594
BM,36.06,-118.39,1896,11,128.615997314453
BM,36.06,-118.39,1896,12,79.6309967041016
BM,36.06,-118.39,1897,1,114.738998413086
BM,36.06,-118.39,1897,2,203.011001586914
BM,36.06,-118.39,1897,3,125.429000854492
BM,36.06,-118.39,1897,4,16.7679996490479
BM,36.06,-118.39,1897,5,19.0330009460449
BM,36.06,-118.39,1897,6,5.36399984359741
BM,36.06,-118.39,1897,7,0.00800000037997961
BM,36.06,-118.39,1897,8,4.83599996566772
BM,36.06,-118.39,1897,9,0.828000009059906
BM,36.06,-118.39,1897,10,46.1580009460449
BM,36.06,-118.39,1897,11,33.7200012207031
BM,36.06,-118.39,1897,12,69.9570007324219
BM,36.06,-118.39,1898,1,36.0260009765625
BM,36.06,-118.39,1898,2,116.138999938965
BM,36.06,-118.39,1898,3,25.2919998168945
BM,36.06,-118.39,1898,4,14.1429996490479
BM,36.06,-118.39,1898,5,37.3110008239746
BM,36.06,-118.39,1898,6,9.49199962615967
BM,36.06,-118.39,1898,7,1.35399997234344
BM,36.06,-118.39,1898,8,3.93099999427795
BM,36.06,-118.39,1898,9,4.80299997329712
BM,36.06,-118.39,1898,10,14.7810001373291
BM,36.06,-118.39,1898,11,42.523998260498
BM,36.06,-118.39,1898,12,40.4360008239746
BM,36.06,-118.39,1899,1,162.955001831055
BM,36.06,-118.39,1899,2,20.4150009155273
BM,36.06,-118.39,1899,3,256.334014892578
BM,36.06,-118.39,1899,4,21.6359996795654
BM,36.06,-118.39,1899,5,31.7019996643066
BM,36.06,-118.39,1899,6,10.0290002822876
BM,36.06,-118.39,1899,7,11.9340000152588
BM,36.06,-118.39,1899,8,27.4850006103516
BM,36.06,-118.39,1899,9,0
BM,36.06,-118.39,1899,10,81.5820007324219
BM,36.06,-118.39,1899,11,99.0210037231445
BM,36.06,-118.39,1899,12,129.485992431641
BM,36.06,-118.39,1901,1,209.634002685547
BM,36.06,-118.39,1901,2,206.048004150391
BM,36.06,-118.39,1901,3,46.3959999084473
BM,36.06,-118.39,1901,4,66.7170028686523
