site,lat,long,year,month,td_mean
BM,36.06,-118.39,1897,1,-11.918999671936
BM,36.06,-118.39,1897,2,-9.66600036621094
BM,36.06,-118.39,1897,3,-11.5869998931885
BM,36.06,-118.39,1897,4,-7.73000001907349
BM,36.06,-118.39,1897,5,-3.59699988365173
BM,36.06,-118.39,1897,6,-0.857999980449677
BM,36.06,-118.39,1897,7,2.32200002670288
BM,36.06,-118.39,1897,8,1.92200005054474
BM,36.06,-118.39,1897,9,-1.34899997711182
BM,36.06,-118.39,1897,10,-4.36600017547607
BM,36.06,-118.39,1897,11,-8.69299983978271
BM,36.06,-118.39,1897,12,-12.496000289917
BM,36.06,-118.39,1898,1,-14.9219999313354
BM,36.06,-118.39,1898,2,-8.9370002746582
BM,36.06,-118.39,1898,3,-12.0139999389648
BM,36.06,-118.39,1898,4,-7.87200021743774
BM,36.06,-118.39,1898,5,-4.55999994277954
BM,36.06,-118.39,1898,6,-0.773000001907349
BM,36.06,-118.39,1898,7,2.55599999427795
BM,36.06,-118.39,1898,8,2.33800005912781
BM,36.06,-118.39,1898,9,-1.55599999427795
BM,36.06,-118.39,1898,10,-5.14699983596802
BM,36.06,-118.39,1898,11,-8.86600017547607
BM,36.06,-118.39,1898,12,-12.7770004272461
BM,36.06,-118.39,1900,1,-9.6230001449585
BM,36.06,-118.39,1900,2,-9.95600032806396
BM,36.06,-118.39,1900,3,-8.17300033569336
BM,36.06,-118.39,1900,4,-8.44900035858154
BM,36.06,-118.39,1900,5,-4.10900020599365
BM,36.06,-118.39,1900,6,-0.686999976634979
BM,36.06,-118.39,1900,7,2.35800004005432
BM,36.06,-118.39,1900,8,1.26900005340576
BM,36.06,-118.39,1900,9,-2.17199993133545
BM,36.06,-118.39,1900,10,-4.79400014877319
BM,36.06,-118.39,1900,11,-5.7810001373291
BM,36.06,-118.39,1900,12,-10.4259996414185
BM,36.06,-118.39,1901,1,-11.2019996643066
BM,36.06,-118.39,1901,2,-8.33699989318848
BM,36.06,-118.39,1901,3,-9.26500034332275
BM,36.06,-118.39,1901,4,-9.47799968719482
BM,36.06,-118.39,1901,5,-4.16699981689453
BM,36.06,-118.39,1901,6,-1.55499994754791
BM,36.06,-118.39,1901,7,1.80900001525879
BM,36.06,-118.39,1901,8,2.16700005531311
BM,36.06,-118.39,1901,9,-2.79399991035461
BM,36.06,-118.39,1901,10,-3.70199990272522
BM,36.06,-118.39,1901,11,-6.59299993515015
BM,36.06,-118.39,1901,12,-12.08899974823
BM,36.06,-118.39,1902,1,-13.4429998397827
BM,36.06,-118.39,1902,2,-8.18299961090088
BM,36.06,-118.39,1902,3,-11.0640001296997
BM,36.06,-118.39,1902,4,-8.65100002288818
BM,36.06,-118.39,1902,5,-5.57800006866455
BM,36.06,-118.39,1902,6,-1.81200003623962
BM,36.06,-118.39,1902,7,1.88300001621246
BM,36.06,-118.39,1902,8,1.37999999523163
BM,36.06,-118.39,1902,9,-1.65799999237061
BM,36.06,-118.39,1902,10,-5.14599990844727
BM,36.06,-118.39,1902,11,-8.55399990081787
BM,36.06,-118.39,1902,12,-11.3719997406006
BM,36.06,-118.39,1903,1,-12.2110004425049
BM,36.06,-118.39,1903,2,-13.8280000686646
BM,36.06,-118.39,1903,3,-9.27600002288818
BM,36.06,-118.39,1903,4,-9.24400043487549
BM,36.06,-118.39,1903,5,-5.33300018310547
BM,36.06,-118.39,1903,6,-1.20799994468689
BM,36.06,-118.39,1903,7,1.14900004863739
BM,36.06,-118.39,1903,8,0.515999972820282
BM,36.06,-118.39,1903,9,-2.39299988746643
BM,36.06,-118.39,1903,10,-5.40899991989136
BM,36.06,-118.39,1903,11,-7.02099990844727
BM,36.06,-118.39,1903,12,-12.1870002746582
BM,36.06,-118.39,1904,1,-14.5170001983643
BM,36.06,-118.39,1904,2,-9.30799961090088
BM,36.06,-118.39,1904,3,-8.44400024414062
BM,36.06,-118.39,1904,4,-8.50399971008301
BM,36.06,-118.39,1904,5,-4.58900022506714
BM,36.06,-118.39,1904,6,-1.42999994754791
BM,36.06,-118.39,1904,7,1.93400001525879
BM,36.06,-118.39,1904,8,1.66600000858307
