site,lat,long,year,month,tmax
BM,36.06,-118.39,1985,1,4.01300001144409
BM,36.06,-118.39,1985,2,5.10099983215332
BM,36.06,-118.39,1985,3,2.99799990653992
BM,36.06,-118.39,1985,4,11.3360004425049
BM,36.06,-118.39,1985,5,12.9270000457764
BM,36.06,-118.39,1985,6,18.8080005645752
BM,36.06,-118.39,1985,7,21.246000289917
BM,36.06,-118.39,1985,8,20.3400001525879
BM,36.06,-118.39,1985,9,12.3739995956421
BM,36.06,-118.39,1985,10,11.8929996490479
BM,36.06,-118.39,1985,11,5.23899984359741
BM,36.06,-118.39,1985,12,6.16499996185303
BM,36.06,-118.39,1986,1,8.56700038909912
BM,36.06,-118.39,1986,2,4.19099998474121
BM,36.06,-118.39,1986,3,7.77600002288818
BM,36.06,-118.39,1986,4,8.88899993896484
BM,36.06,-118.39,1986,5,12.4429998397827
BM,36.06,-118.39,1986,6,18.0659999847412
BM,36.06,-118.39,1986,7,18.6860008239746
BM,36.06,-118.39,1986,8,21.7910003662109
BM,36.06,-118.39,1986,9,12.8140001296997
BM,36.06,-118.39,1986,10,11.048999786377
BM,36.06,-118.39,1986,11,9.08100032806396
BM,36.06,-118.39,1986,12,5.18599987030029
BM,36.06,-118.39,1987,1,3.62599992752075
BM,36.06,-118.39,1987,2,3.07200002670288
BM,36.06,-118.39,1987,3,3.99200010299683
BM,36.06,-118.39,1987,4,12.5620002746582
BM,36.06,-118.39,1987,5,11.7270002365112
BM,36.06,-118.39,1987,6,18.5200004577637
BM,36.06,-118.39,1987,7,18.17799949646
BM,36.06,-118.39,1987,8,21.1180000305176
BM,36.06,-118.39,1987,9,17.548999786377
BM,36.06,-118.39,1987,10,14.0220003128052
BM,36.06,-118.39,1987,11,6.74200010299683
BM,36.06,-118.39,1987,12,1.26199996471405
BM,36.06,-118.39,1988,1,4.8730001449585
BM,36.06,-118.39,1988,2,7.58699989318848
BM,36.06,-118.39,1988,3,7.14499998092651
BM,36.06,-118.39,1988,4,9.16399955749512
BM,36.06,-118.39,1988,5,10.9359998703003
BM,36.06,-118.39,1988,6,16.5310001373291
BM,36.06,-118.39,1988,7,22.1830005645752
BM,36.06,-118.39,1988,8,20.8269996643066
BM,36.06,-118.39,1988,9,18.128999710083
BM,36.06,-118.39,1988,10,16.4699993133545
BM,36.06,-118.39,1988,11,7.4980001449585
BM,36.06,-118.39,1988,12,3.16499996185303
BM,36.06,-118.39,1989,1,3.39800000190735
BM,36.06,-118.39,1989,2,2.64499998092651
BM,36.06,-118.39,1989,3,7.02899980545044
BM,36.06,-118.39,1989,4,12.6929998397827
BM,36.06,-118.39,1989,5,11.8229999542236
BM,36.06,-118.39,1989,6,17.3150005340576
BM,36.06,-118.39,1989,7,21.6720008850098
BM,36.06,-118.39,1989,8,19.6240005493164
BM,36.06,-118.39,1989,9,16.7390003204346
BM,36.06,-118.39,1989,10,11.8819999694824
BM,36.06,-118.39,1989,11,10.8420000076294
BM,36.06,-118.39,1989,12,8.5310001373291
BM,36.06,-118.39,1990,1,4.17199993133545
BM,36.06,-118.39,1990,2,1.92299997806549
BM,36.06,-118.39,1990,3,6.39900016784668
BM,36.06,-118.39,1990,4,10.3319997787476
