site,lat,long,year,month,tmean
BM,36.06,-118.39,1895,1,-2.73100018501282
BM,36.06,-118.39,1895,2,-1.00400006771088
BM,36.06,-118.39,1895,3,0.948000073432922
BM,36.06,-118.39,1895,4,3.73900008201599
BM,36.06,-118.39,1895,5,6.86300039291382
BM,36.06,-118.39,1895,6,11.3060007095337
BM,36.06,-118.39,1895,7,13.1880006790161
BM,36.06,-118.39,1895,8,14.5580005645752
BM,36.06,-118.39,1895,9,10.6520004272461
BM,36.06,-118.39,1895,10,6.5930004119873
BM,36.06,-118.39,1895,11,1.42300009727478
BM,36.06,-118.39,1895,12,-0.46900001168251
BM,36.06,-118.39,1896,1,1.75800013542175
BM,36.06,-118.39,1896,2,1.17700004577637
BM,36.06,-118.39,1896,3,0.779000043869019
BM,36.06,-118.39,1896,4,-1.44700002670288
BM,36.06,-118.39,1896,5,3.83200025558472
BM,36.06,-118.39,1896,6,12.2250003814697
BM,36.06,-118.39,1896,7,14.8200006484985
BM,36.06,-118.39,1896,8,13.5550003051758
BM,36.06,-118.39,1896,9,10.0130004882812
BM,36.06,-118.39,1896,10,8.05200004577637
BM,36.06,-118.39,1896,11,2.07600021362305
BM,36.06,-118.39,1896,12,1.85700011253357
BM,36.06,-118.39,1898,1,-4.28900003433228
BM,36.06,-118.39,1898,2,0.651000022888184
BM,36.06,-118.39,1898,3,-1.91800010204315
BM,36.06,-118.39,1898,4,5.77100038528442
BM,36.06,-118.39,1898,5,4.93400001525879
BM,36.06,-118.39,1898,6,11.1960000991821
BM,36.06,-118.39,1898,7,15.0390005111694
BM,36.06,-118.39,1898,8,15.6790008544922
BM,36.06,-118.39,1898,9,13.4980010986328
BM,36.06,-118.39,1898,10,7.41900014877319
BM,36.06,-118.39,1898,11,1.682000041008
BM,36.06,-118.39,1898,12,-2.44700002670288
BM,36.06,-118.39,1899,1,-0.663000047206879
BM,36.06,-118.39,1899,2,-1.36300003528595
BM,36.06,-118.39,1899,3,0.656000018119812
BM,36.06,-118.39,1899,4,3.94000029563904
BM,36.06,-118.39,1899,5,3.70500016212463
BM,36.06,-118.39,1899,6,11.8130006790161
BM,36.06,-118.39,1899,7,14.3800010681152
BM,36.06,-118.39,1899,8,12.0020008087158
BM,36.06,-118.39,1899,9,14.7000007629395
BM,36.06,-118.39,1899,10,5
BM,36.06,-118.39,1899,11,4.26800012588501
BM,36.06,-118.39,1899,12,-0.0540000014007092
BM,36.06,-118.39,1900,1,1.03400003910065
BM,36.06,-118.39,1900,2,0.232000008225441
BM,36.06,-118.39,1900,3,3.71600008010864
BM,36.06,-118.39,1900,4,0.50900000333786
BM,36.06,-118.39,1900,5,6.94500017166138
BM,36.06,-118.39,1900,6,12.8620004653931
BM,36.06,-118.39,1900,7,14.9410009384155
BM,36.06,-118.39,1900,8,12.621000289917
BM,36.06,-118.39,1900,9,8.7790002822876
BM,36.06,-118.39,1900,10,6.55600023269653
BM,36.06,-118.39,1900,11,4.72500038146973
BM,36.06,-118.39,1900,12,1.13200008869171
BM,36.06,-118.39,1902,1,-1.00999999046326
BM,36.06,-118.39,1902,2,-0.911000072956085
BM,36.06,-118.39,1902,3,-2.19500017166138
BM,36.06,-118.39,1902,4,2.49300003051758
BM,36.06,-118.39,1902,5,5.41900014877319
BM,36.06,-118.39,1902,6,11.9970006942749
BM,36.06,-118.39,1902,7,13.8700008392334
BM,36.06,-118.39,1902,8,13.2480010986328
BM,36.06,-118.39,1902,9,12.1920003890991
BM,36.06,-118.39,1902,10,7.11800050735474
BM,36.06,-118.39,1902,11,0.312000006437302
BM,36.06,-118.39,1902,12,-1.27300000190735
BM,36.06,-118.39,1903,1,-1.26200008392334
BM,36.06,-118.39,1903,2,-7.09900045394897
BM,36.06,-118.39,1903,3,-2.49100017547607
BM,36.06,-118.39,1903,4,0.415000021457672
BM,36.06,-118.39,1903,5,5.36500024795532
BM,36.06,-118.39,1903,6,11.4580001831055
BM,36.06,-118.39,1903,7,14.3440008163452
BM,36.06,-118.39,1903,8,15.1600008010864
BM,36.06,-118.39,1903,9,10.8740005493164
BM,36.06,-118.39,1903,10,8.61900043487549
BM,36.06,-118.39,1903,11,4.27100038528442
BM,36.06,-118.39,1903,12,-0.707000017166138
BM,36.06,-118.39,1904,1,-2.007000207901
BM,36.06,-118.39,1904,2,1.55200004577637
BM,36.06,-118.39,1904,3,-0.718000054359436
BM,36.06,-118.39,1904,4,2.45800018310547
BM,36.06,-118.39,1904,5,7.11500024795532
BM,36.06,-118.39,1904,6,11.4910001754761
BM,36.06,-118.39,1904,7,14.5580005645752
BM,36.06,-118.39,1904,8,15.1290006637573
BM,36.06,-118.39,1904,9,11.6160001754761
BM,36.06,-118.39,1904,10,6.19000005722046
BM,36.06,-118.39,1904,11,3.83000016212463
BM,36.06,-118.39,1904,12,0.395000010728836
BM,36.06,-118.39,1905,1,1.56400012969971
BM,36.06,-118.39,1905,2,0.459000021219254
BM,36.06,-118.39,1905,3,0.66100001335144
BM,36.06,-118.39,1905,4,3.62100028991699
BM,36.06,-118.39,1905,5,3.86200022697449
BM,36.06,-118.39,1905,6,10.0590000152588
BM,36.06,-118.39,1905,7,14.7880010604858
BM,36.06,-118.39,1905,8,15.189001083374
BM,36.06,-118.39,1905,9,11.2600002288818
BM,36.06,-118.39,1905,10,5.79100036621094
BM,36.06,-118.39,1905,11,2.23200011253357
BM,36.06,-118.39,1905,12,-1.74000012874603
BM,36.06,-118.39,1907,1,-3.52600026130676
BM,36.06,-118.39,1907,2,1.49900007247925
BM,36.06,-118.39,1907,3,-1.72900009155273
BM,36.06,-118.39,1907,4,2.73600006103516
BM,36.06,-118.39,1907,5,4.95800018310547
BM,36.06,-118.39,1907,6,9.08700084686279
BM,36.06,-118.39,1907,7,13.5460004806519
BM,36.06,-118.39,1907,8,13.3070001602173
BM,36.06,-118.39,1907,9,9.43000030517578
BM,36.06,-118.39,1907,10,5.9980001449585
BM,36.06,-118.39,1907,11,3.12700009346008
BM,36.06,-118.39,1907,12,-0.112000003457069
