site,lat,long,year,month,tmin
BM,36.06,-118.39,1895,1,-7.90500020980835
BM,36.06,-118.39,1895,2,-6.57499980926514
BM,36.06,-118.39,1895,3,-4.95900011062622
BM,36.06,-118.39,1895,4,-2.06200003623962
BM,36.06,-118.39,1895,5,1.44000005722046
BM,36.06,-118.39,1895,6,5.17899990081787
BM,36.06,-118.39,1895,7,7.82499980926514
BM,36.06,-118.39,1895,8,8.74100017547607
BM,36.06,-118.39,1895,9,5.34299993515015
BM,36.06,-118.39,1895,10,0.853999972343445
BM,36.06,-118.39,1895,11,-4.0149998664856
BM,36.06,-118.39,1895,12,-5.3270001411438
BM,36.06,-118.39,1896,1,-2.58299994468689
BM,36.06,-118.39,1896,2,-4.85799980163574
BM,36.06,-118.39,1896,3,-4.42899990081787
BM,36.06,-118.39,1896,4,-7.14900016784668
BM,36.06,-118.39,1896,5,-1.79999995231628
BM,36.06,-118.39,1896,6,5.72900009155273
BM,36.06,-118.39,1896,7,9.68599987030029
BM,36.06,-118.39,1896,8,8.60700035095215
BM,36.06,-118.39,1896,9,4.98099994659424
BM,36.06,-118.39,1896,10,2.57800006866455
BM,36.06,-118.39,1896,11,-1.47099995613098
BM,36.06,-118.39,1896,12,-2.95000004768372
BM,36.06,-118.39,1897,1,-7.55100011825562
BM,36.06,-118.39,1897,2,-6.68900012969971
BM,36.06,-118.39,1897,3,-8.59700012207031
BM,36.06,-118.39,1897,4,-3.48600006103516
BM,36.06,-118.39,1897,5,1.72500002384186
BM,36.06,-118.39,1897,6,5.04500007629395
BM,36.06,-118.39,1897,7,8.95899963378906
BM,36.06,-118.39,1897,8,11.2629995346069
BM,36.06,-118.39,1897,9,6.4539999961853
BM,36.06,-118.39,1897,10,2.93300008773804
BM,36.06,-118.39,1897,11,0.284000009298325
BM,36.06,-118.39,1897,12,-6.98299980163574
BM,36.06,-118.39,1898,1,-9.13899993896484
BM,36.06,-118.39,1898,2,-4.28000020980835
BM,36.06,-118.39,1898,3,-8.00300025939941
BM,36.06,-118.39,1898,4,-0.714999973773956
BM,36.06,-118.39,1898,5,-0.0450000017881393
BM,36.06,-118.39,1898,6,5.35099983215332
BM,36.06,-118.39,1898,7,9.13199996948242
BM,36.06,-118.39,1898,8,8.87199974060059
BM,36.06,-118.39,1898,9,8.32699966430664
BM,36.06,-118.39,1898,10,2.83599996566772
BM,36.06,-118.39,1898,11,-4.25600004196167
BM,36.06,-118.39,1898,12,-7.85500001907349
BM,36.06,-118.39,1899,1,-6.00899982452393
BM,36.06,-118.39,1899,2,-6.48999977111816
BM,36.06,-118.39,1899,3,-5.11399984359741
BM,36.06,-118.39,1899,4,-2.76200008392334
BM,36.06,-118.39,1899,5,-1.87199997901917
BM,36.06,-118.39,1899,6,4.92399978637695
BM,36.06,-118.39,1899,7,6.27899980545044
BM,36.06,-118.39,1899,8,5.67500019073486
BM,36.06,-118.39,1899,9,7.91200017929077
BM,36.06,-118.39,1899,10,0.527999997138977
BM,36.06,-118.39,1899,11,0.497000008821487
BM,36.06,-118.39,1899,12,-3.25399994850159
BM,36.06,-118.39,1901,1,-6.46400022506714
BM,36.06,-118.39,1901,2,-7.49200010299683
BM,36.06,-118.39,1901,3,-6.14300012588501
BM,36.06,-118.39,1901,4,-3.88499999046326
BM,36.06,-118.39,1901,5,-1.02900004386902
BM,36.06,-118.39,1901,6,4.20100021362305
BM,36.06,-118.39,1901,7,8.52499961853027
BM,36.06,-118.39,1901,8,8.73099994659424
BM,36.06,-118.39,1901,9,2.60599994659424
BM,36.06,-118.39,1901,10,2.90899991989136
BM,36.06,-118.39,1901,11,-1.37300002574921
BM,36.06,-118.39,1901,12,-6.41200017929077
BM,36.06,-118.39,1902,1,-6.23899984359741
BM,36.06,-118.39,1902,2,-7.31500005722046
BM,36.06,-118.39,1902,3,-7.22700023651123
BM,36.06,-118.39,1902,4,-3.72399997711182
BM,36.06,-118.39,1902,5,-0.305999994277954
BM,36.06,-118.39,1902,6,3.95300006866455
BM,36.06,-118.39,1902,7,6.82000017166138
BM,36.06,-118.39,1902,8,5.73299980163574
BM,36.06,-118.39,1902,9,4.27299976348877
BM,36.06,-118.39,1902,10,0.959999978542328
BM,36.06,-118.39,1902,11,-5.63600015640259
BM,36.06,-118.39,1902,12,-6.59600019454956
BM,36.06,-118.39,1903,1,-7.88299989700317
BM,36.06,-118.39,1903,2,-13.8879995346069
BM,36.06,-118.39,1903,3,-8.95800018310547
BM,36.06,-118.39,1903,4,-6.49599981307983
BM,36.06,-118.39,1903,5,-1.442999958992
BM,36.06,-118.39,1903,6,4.27400016784668
BM,36.06,-118.39,1903,7,8.42800045013428
BM,36.06,-118.39,1903,8,7.53399991989136
BM,36.06,-118.39,1903,9,3.8989999294281
BM,36.06,-118.39,1903,10,1.7849999666214
BM,36.06,-118.39,1903,11,-2.04299998283386
BM,36.06,-118.39,1903,12,-7.39799976348877
BM,36.06,-118.39,1905,1,-2.79800009727478
BM,36.06,-118.39,1905,2,-4.36600017547607
BM,36.06,-118.39,1905,3,-5.47700023651123
BM,36.06,-118.39,1905,4,-2.95300006866455
BM,36.06,-118.39,1905,5,-2.33699989318848
BM,36.06,-118.39,1905,6,2.40499997138977
BM,36.06,-118.39,1905,7,6.70699977874756
BM,36.06,-118.39,1905,8,7.18200016021729
BM,36.06,-118.39,1905,9,3.61800003051758
BM,36.06,-118.39,1905,10,-1.75999999046326
BM,36.06,-118.39,1905,11,-4.85099983215332
BM,36.06,-118.39,1905,12,-8.23299980163574
BM,36.06,-118.39,1908,1,-6.64900016784668
BM,36.06,-118.39,1908,2,-9.24899959564209
BM,36.06,-118.39,1908,3,-7.04199981689453
BM,36.06,-118.39,1908,4,-4.12900018692017
BM,36.06,-118.39,1908,5,-4.14200019836426
BM,36.06,-118.39,1908,6,2.95000004768372
BM,36.06,-118.39,1908,7,11.8920001983643
BM,36.06,-118.39,1908,8,10.1859998703003
BM,36.06,-118.39,1908,9,7.81300020217896
BM,36.06,-118.39,1908,10,0.214000001549721
BM,36.06,-118.39,1908,11,-3.22499990463257
BM,36.06,-118.39,1908,12,-7.7020001411438
BM,36.06,-118.39,1909,1,-4.92199993133545
BM,36.06,-118.39,1909,2,-8.21199989318848
BM,36.06,-118.39,1909,3,-6.79199981689453
BM,36.06,-118.39,1909,4,-3.89599990844727
BM,36.06,-118.39,1909,5,-2.86400008201599
BM,36.06,-118.39,1909,6,3.45600008964539
BM,36.06,-118.39,1909,7,8.3100004196167
BM,36.06,-118.39,1909,8,10.1759996414185
BM,36.06,-118.39,1909,9,6.46299982070923
BM,36.06,-118.39,1909,10,-0.524999976158142
BM,36.06,-118.39,1909,11,-1.95500004291534
BM,36.06,-118.39,1909,12,-6.55299997329712
BM,36.06,-118.39,1911,1,-5.94199991226196
BM,36.06,-118.39,1911,2,-9.17599964141846
BM,36.06,-118.39,1911,3,-3.3989999294281
BM,36.06,-118.39,1911,4,-3.74399995803833
BM,36.06,-118.39,1911,5,-1.39699995517731
BM,36.06,-118.39,1911,6,4.70800018310547
BM,36.06,-118.39,1911,7,8.10099983215332
BM,36.06,-118.39,1911,8,7.68200016021729
BM,36.06,-118.39,1911,9,3.38599991798401
BM,36.06,-118.39,1911,10,-0.879999995231628
BM,36.06,-118.39,1911,11,-2.36500000953674
BM,36.06,-118.39,1911,12,-7.09000015258789
BM,36.06,-118.39,1912,1,-4.75799989700317
BM,36.06,-118.39,1912,2,-8.0019998550415
BM,36.06,-118.39,1912,3,-7.17000007629395
BM,36.06,-118.39,1912,4,-5.80900001525879
BM,36.06,-118.39,1912,5,-1.35399997234344
BM,36.06,-118.39,1912,6,4.34600019454956
BM,36.06,-118.39,1912,7,6.18200016021729
BM,36.06,-118.39,1912,8,6.19000005722046
BM,36.06,-118.39,1912,9,4.25400018692017
BM,36.06,-118.39,1912,10,0.474999994039536
BM,36.06,-118.39,1912,11,-0.479000002145767
BM,36.06,-118.39,1912,12,-6.19899988174438
BM,36.06,-118.39,1913,1,-7.66099977493286
BM,36.06,-118.39,1913,2,-6.6269998550415
BM,36.06,-118.39,1913,3,-6.82299995422363
BM,36.06,-118.39,1913,4,-3.77099990844727
BM,36.06,-118.39,1913,5,-0.446999996900558
BM,36.06,-118.39,1913,6,3.3289999961853
BM,36.06,-118.39,1913,7,7.20900011062622
BM,36.06,-118.39,1913,8,8.63399982452393
BM,36.06,-118.39,1913,9,6.34499979019165
BM,36.06,-118.39,1913,10,0.14300000667572
BM,36.06,-118.39,1913,11,-1.85800004005432
BM,36.06,-118.39,1913,12,-5.66800022125244
BM,36.06,-118.39,1914,1,-4.35099983215332
BM,36.06,-118.39,1914,2,-6.88899993896484
BM,36.06,-118.39,1914,3,-4.36299991607666
BM,36.06,-118.39,1914,4,-3.75799989700317
BM,36.06,-118.39,1914,5,-0.180000007152557
BM,36.06,-118.39,1914,6,3.81800007820129
BM,36.06,-118.39,1914,7,7.42999982833862
BM,36.06,-118.39,1914,8,9.30599975585938
