site,lat,long,year,month,vpdmax
BM,36.06,-118.39,1895,1,4.32399988174438
BM,36.06,-118.39,1895,2,4.88800001144409
BM,36.06,-118.39,1895,3,6.64699983596802
BM,36.06,-118.39,1895,4,8.63899993896484
BM,36.06,-118.39,1895,5,10.4940004348755
BM,36.06,-118.39,1895,6,14.9280004501343
BM,36.06,-118.39,1895,7,13.8990001678467
BM,36.06,-118.39,1895,8,16.7919998168945
BM,36.06,-118.39,1895,9,13.0959997177124
BM,36.06,-118.39,1895,10,8.87199974060059
BM,36.06,-118.39,1895,11,6.7350001335144
BM,36.06,-118.39,1895,12,5.70499992370605
BM,36.06,-118.39,1896,1,6.08400011062622
BM,36.06,-118.39,1896,2,7.04099988937378
BM,36.06,-118.39,1896,3,5.70599985122681
BM,36.06,-118.39,1896,4,5
BM,36.06,-118.39,1896,5,7.1560001373291
BM,36.06,-118.39,1896,6,16.5240001678467
BM,36.06,-118.39,1896,7,15.1309995651245
BM,36.06,-118.39,1896,8,14.4280004501343
BM,36.06,-118.39,1896,9,11.0120000839233
BM,36.06,-118.39,1896,10,10.9879999160767
BM,36.06,-118.39,1896,11,5.38600015640259
BM,36.06,-118.39,1896,12,6.64799976348877
BM,36.06,-118.39,1897,1,5.2649998664856
BM,36.06,-118.39,1897,2,3.21300005912781
BM,36.06,-118.39,1897,3,3.54800009727478
BM,36.06,-118.39,1897,4,8.59099960327148
BM,36.06,-118.39,1897,5,12.8330001831055
BM,36.06,-118.39,1897,6,11.3520002365112
BM,36.06,-118.39,1897,7,15.9610004425049
BM,36.06,-118.39,1897,8,19.1599998474121
BM,36.06,-118.39,1897,9,11.3690004348755
BM,36.06,-118.39,1897,10,7.19600009918213
BM,36.06,-118.39,1897,11,6.90399980545044
BM,36.06,-118.39,1897,12,4.36499977111816
BM,36.06,-118.39,1898,1,3.58400011062622
BM,36.06,-118.39,1898,2,5.08300018310547
BM,36.06,-118.39,1898,3,5.23299980163574
BM,36.06,-118.39,1898,4,11.6719999313354
BM,36.06,-118.39,1898,5,7.83699989318848
BM,36.06,-118.39,1898,6,14.1929998397827
BM,36.06,-118.39,1898,7,17.6660003662109
BM,36.06,-118.39,1898,8,19.4459991455078
BM,36.06,-118.39,1898,9,15.6450004577637
BM,36.06,-118.39,1898,10,9.40900039672852
BM,36.06,-118.39,1898,11,6.76399993896484
BM,36.06,-118.39,1898,12,4.72300004959106
BM,36.06,-118.39,1899,1,5.09800004959106
BM,36.06,-118.39,1899,2,4.5770001411438
BM,36.06,-118.39,1899,3,5.94399976730347
BM,36.06,-118.39,1899,4,9.13599967956543
BM,36.06,-118.39,1899,5,7.32499980926514
BM,36.06,-118.39,1899,6,16.0860004425049
BM,36.06,-118.39,1899,7,20.0879993438721
BM,36.06,-118.39,1899,8,14.6870002746582
BM,36.06,-118.39,1899,9,20.378999710083
BM,36.06,-118.39,1899,10,7.24200010299683
BM,36.06,-118.39,1899,11,6.28399991989136
BM,36.06,-118.39,1899,12,4.47200012207031
BM,36.06,-118.39,1900,1,5.40000009536743
BM,36.06,-118.39,1900,2,6.43100023269653
BM,36.06,-118.39,1900,3,9.12899971008301
BM,36.06,-118.39,1900,4,6.16800022125244
BM,36.06,-118.39,1900,5,11.03600025177
BM,36.06,-118.39,1900,6,16.6439990997314
BM,36.06,-118.39,1900,7,19.9379997253418
BM,36.06,-118.39,1900,8,15.1059999465942
BM,36.06,-118.39,1900,9,11.0299997329712
BM,36.06,-118.39,1900,10,8.12600040435791
BM,36.06,-118.39,1900,11,7.09100008010864
BM,36.06,-118.39,1900,12,5.59700012207031
BM,36.06,-118.39,1901,1,4.11600017547607
BM,36.06,-118.39,1901,2,3.57500004768372
BM,36.06,-118.39,1901,3,6.24399995803833
BM,36.06,-118.39,1901,4,8.56999969482422
BM,36.06,-118.39,1901,5,8.67899990081787
BM,36.06,-118.39,1901,6,14.2650003433228
BM,36.06,-118.39,1901,7,19.4839992523193
BM,36.06,-118.39,1901,8,19.2390003204346
BM,36.06,-118.39,1901,9,14.4049997329712
BM,36.06,-118.39,1901,10,10.6909999847412
BM,36.06,-118.39,1901,11,8.6850004196167
BM,36.06,-118.39,1901,12,7.35900020599365
BM,36.06,-118.39,1902,1,5.63899993896484
BM,36.06,-118.39,1902,2,5.54300022125244
BM,36.06,-118.39,1902,3,4.33400011062622
BM,36.06,-118.39,1902,4,8.48999977111816
BM,36.06,-118.39,1902,5,8.72500038146973
BM,36.06,-118.39,1902,6,18.7560005187988
BM,36.06,-118.39,1902,7,18.5809993743896
BM,36.06,-118.39,1902,8,17.8309993743896
BM,36.06,-118.39,1902,9,18.4969997406006
BM,36.06,-118.39,1902,10,11.4079999923706
BM,36.06,-118.39,1902,11,5.54899978637695
BM,36.06,-118.39,1902,12,5.1399998664856
BM,36.06,-118.39,1903,1,6.23999977111816
BM,36.06,-118.39,1903,2,3.25500011444092
BM,36.06,-118.39,1903,3,4.72499990463257
BM,36.06,-118.39,1903,4,7.04400014877319
BM,36.06,-118.39,1903,5,10.1420001983643
BM,36.06,-118.39,1903,6,16.3430004119873
BM,36.06,-118.39,1903,7,17.9020004272461
BM,36.06,-118.39,1903,8,22.3190002441406
BM,36.06,-118.39,1903,9,16.7049999237061
BM,36.06,-118.39,1903,10,13.6000003814697
BM,36.06,-118.39,1903,11,9.18599987030029
BM,36.06,-118.39,1903,12,6.57399988174438
BM,36.06,-118.39,1904,1,7.40299987792969
BM,36.06,-118.39,1904,2,6.58900022506714
BM,36.06,-118.39,1904,3,5.23000001907349
BM,36.06,-118.39,1904,4,7.76399993896484
BM,36.06,-118.39,1904,5,11.0979995727539
BM,36.06,-118.39,1904,6,17.9360008239746
BM,36.06,-118.39,1904,7,16.9790000915527
BM,36.06,-118.39,1904,8,18.8209991455078
BM,36.06,-118.39,1904,9,13.1800003051758
BM,36.06,-118.39,1904,10,8.73999977111816
BM,36.06,-118.39,1904,11,9.13700008392334
BM,36.06,-118.39,1904,12,6.42500019073486
BM,36.06,-118.39,1905,1,6.18699979782104
BM,36.06,-118.39,1905,2,5.16800022125244
BM,36.06,-118.39,1905,3,6.06300020217896
BM,36.06,-118.39,1905,4,8.26500034332275
BM,36.06,-118.39,1905,5,7.98199987411499
BM,36.06,-118.39,1905,6,14.4739999771118
BM,36.06,-118.39,1905,7,19.6049995422363
BM,36.06,-118.39,1905,8,20.806999206543
BM,36.06,-118.39,1905,9,16.5100002288818
BM,36.06,-118.39,1905,10,11.3669996261597
BM,36.06,-118.39,1905,11,8.51000022888184
BM,36.06,-118.39,1905,12,5.99300003051758
BM,36.06,-118.39,1906,1,7.66499996185303
BM,36.06,-118.39,1906,2,5.55600023269653
BM,36.06,-118.39,1906,3,5.22499990463257
BM,36.06,-118.39,1906,4,6.48999977111816
BM,36.06,-118.39,1906,5,7.3439998626709
BM,36.06,-118.39,1906,6,12.4329996109009
BM,36.06,-118.39,1906,7,23.5009994506836
BM,36.06,-118.39,1906,8,19.5629997253418
BM,36.06,-118.39,1906,9,16.0389995574951
BM,36.06,-118.39,1906,10,13.4020004272461
BM,36.06,-118.39,1906,11,7.23400020599365
BM,36.06,-118.39,1906,12,5.13000011444092
BM,36.06,-118.39,1907,1,3.67400002479553
BM,36.06,-118.39,1907,2,6.68900012969971
BM,36.06,-118.39,1907,3,4.07999992370605
BM,36.06,-118.39,1907,4,6.90000009536743
BM,36.06,-118.39,1907,5,9.58300018310547
BM,36.06,-118.39,1907,6,12.7480001449585
BM,36.06,-118.39,1907,7,18.2210006713867
BM,36.06,-118.39,1907,8,17.8090000152588
BM,36.06,-118.39,1907,9,12.8809995651245
BM,36.06,-118.39,1907,10,9.23799991607666
BM,36.06,-118.39,1907,11,8.88199996948242
BM,36.06,-118.39,1907,12,5.75500011444092
BM,36.06,-118.39,1912,1,5.62599992752075
BM,36.06,-118.39,1912,2,6.19700002670288
BM,36.06,-118.39,1912,3,4.19000005722046
BM,36.06,-118.39,1912,4,5.26900005340576
BM,36.06,-118.39,1912,5,9.69799995422363
BM,36.06,-118.39,1912,6,14.8129997253418
BM,36.06,-118.39,1912,7,15.0050001144409
BM,36.06,-118.39,1912,8,15.1590003967285
