site,lat,long,year,month,vpdmin
BM,36.06,-118.39,1895,1,1.09899997711182
BM,36.06,-118.39,1895,2,1.05299997329712
BM,36.06,-118.39,1895,3,1.81599998474121
BM,36.06,-118.39,1895,4,2.23300004005432
BM,36.06,-118.39,1895,5,2.54900002479553
BM,36.06,-118.39,1895,6,3.11800003051758
BM,36.06,-118.39,1895,7,3.37800002098083
BM,36.06,-118.39,1895,8,4.70499992370605
BM,36.06,-118.39,1895,9,4.31199979782104
BM,36.06,-118.39,1895,10,2.48600006103516
BM,36.06,-118.39,1895,11,1.68499994277954
BM,36.06,-118.39,1895,12,1.95899999141693
BM,36.06,-118.39,1896,1,2.20000004768372
BM,36.06,-118.39,1896,2,1.70200002193451
BM,36.06,-118.39,1896,3,1.60199999809265
BM,36.06,-118.39,1896,4,0.954999983310699
BM,36.06,-118.39,1896,5,1.47699999809265
BM,36.06,-118.39,1896,6,3.45300006866455
BM,36.06,-118.39,1896,7,3.96300005912781
BM,36.06,-118.39,1896,8,3.94199991226196
BM,36.06,-118.39,1896,9,3.3970000743866
BM,36.06,-118.39,1896,10,3.00699996948242
BM,36.06,-118.39,1896,11,2.40000009536743
BM,36.06,-118.39,1896,12,2.28999996185303
BM,36.06,-118.39,1897,1,1.22399997711182
BM,36.06,-118.39,1897,2,1.1690000295639
BM,36.06,-118.39,1897,3,1.14999997615814
BM,36.06,-118.39,1897,4,1.62300002574921
BM,36.06,-118.39,1897,5,2.34400010108948
BM,36.06,-118.39,1897,6,3.18199992179871
BM,36.06,-118.39,1897,7,4.20900011062622
BM,36.06,-118.39,1897,8,6.2649998664856
BM,36.06,-118.39,1897,9,4.26200008392334
BM,36.06,-118.39,1897,10,3.05299997329712
BM,36.06,-118.39,1897,11,3.28200006484985
BM,36.06,-118.39,1897,12,1.49800002574921
BM,36.06,-118.39,1899,1,1.37699997425079
BM,36.06,-118.39,1899,2,1.36099994182587
BM,36.06,-118.39,1899,3,1.49100005626678
BM,36.06,-118.39,1899,4,1.81900000572205
BM,36.06,-118.39,1899,5,1.41999995708466
BM,36.06,-118.39,1899,6,2.87899994850159
BM,36.06,-118.39,1899,7,2.65799999237061
BM,36.06,-118.39,1899,8,2.57999992370605
BM,36.06,-118.39,1899,9,5.56400012969971
BM,36.06,-118.39,1899,10,2.41899991035461
BM,36.06,-118.39,1899,11,2.53900003433228
BM,36.06,-118.39,1899,12,2.23699998855591
BM,36.06,-118.39,1900,1,2.16899991035461
BM,36.06,-118.39,1900,2,1.432000041008
BM,36.06,-118.39,1900,3,1.807000041008
BM,36.06,-118.39,1900,4,1.30099999904633
BM,36.06,-118.39,1900,5,2.17899990081787
BM,36.06,-118.39,1900,6,3.80200004577637
BM,36.06,-118.39,1900,7,3.07999992370605
BM,36.06,-118.39,1900,8,2.80999994277954
BM,36.06,-118.39,1900,9,2.89100003242493
BM,36.06,-118.39,1900,10,3.33800005912781
BM,36.06,-118.39,1900,11,2.70199990272522
BM,36.06,-118.39,1900,12,2.60899996757507
BM,36.06,-118.39,1904,1,1.14600002765656
BM,36.06,-118.39,1904,2,1.81500005722046
BM,36.06,-118.39,1904,3,1.05099999904633
BM,36.06,-118.39,1904,4,1.67999994754791
BM,36.06,-118.39,1904,5,1.98800003528595
BM,36.06,-118.39,1904,6,2.23799991607666
BM,36.06,-118.39,1904,7,3.91400003433228
BM,36.06,-118.39,1904,8,4.25799989700317
BM,36.06,-118.39,1904,9,3.59299993515015
BM,36.06,-118.39,1904,10,2.24699997901917
BM,36.06,-118.39,1904,11,1.91799998283386
BM,36.06,-118.39,1904,12,1.6710000038147
BM,36.06,-118.39,1905,1,2.17199993133545
BM,36.06,-118.39,1905,2,1.4210000038147
BM,36.06,-118.39,1905,3,1.09399998188019
BM,36.06,-118.39,1905,4,1.69500005245209
BM,36.06,-118.39,1905,5,1.25600004196167
BM,36.06,-118.39,1905,6,2.26300001144409
BM,36.06,-118.39,1905,7,2.84599995613098
BM,36.06,-118.39,1905,8,3.50999999046326
BM,36.06,-118.39,1905,9,2.77699995040894
BM,36.06,-118.39,1905,10,2.18400001525879
BM,36.06,-118.39,1905,11,1.5110000371933
BM,36.06,-118.39,1905,12,1.32099997997284
BM,36.06,-118.39,1906,1,1.50899994373322
BM,36.06,-118.39,1906,2,1.00499999523163
BM,36.06,-118.39,1906,3,0.958999991416931
BM,36.06,-118.39,1906,4,1.21000003814697
BM,36.06,-118.39,1906,5,1.42799997329712
BM,36.06,-118.39,1906,6,1.74199998378754
BM,36.06,-118.39,1906,7,2.41400003433228
BM,36.06,-118.39,1906,8,3.52999997138977
BM,36.06,-118.39,1906,9,2.93799996376038
BM,36.06,-118.39,1906,10,2.92799997329712
BM,36.06,-118.39,1906,11,1.42799997329712
BM,36.06,-118.39,1906,12,1.9559999704361
BM,36.06,-118.39,1908,1,1.45799994468689
BM,36.06,-118.39,1908,2,0.785000026226044
BM,36.06,-118.39,1908,3,1.44599997997284
BM,36.06,-118.39,1908,4,1.62600004673004
BM,36.06,-118.39,1908,5,1.03400003910065
